municipality,tot_pob,high,professionals,europeans,nse_municip,NumCompanies_10S,NumNewCompanies_10S,NumCompanies_ML_10S,NumCompanies_HP_10S,Banks_BBVA,banks_Bankinter,banks_CaixaBank,banks_Sabadell,banks_Santander,banks_total
43028,4062,24.891316657136578,1160.1757511417543,3797,3.60167865055718,150.0,10.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
43029,394,2.19435716779333,130.6580976863754,364,3.25925925925926,9.0,0.0,0.0,0.0,,,,,,
43030,742,5.60702264381885,257.7587209302325,639,3.54035087719298,16.0,0.0,0.0,1.0,,,,,,
43031,2148,25.318248873821688,797.1958762886607,1858,3.7559748427673,81.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
43032,566,3.2676784412485897,217.31239092495633,517,3.37130801687764,10.0,0.0,0.0,0.0,,,,,,
43033,1102,30.6771696578372,437.498127340824,1004,4.07239819004525,26.0,0.0,1.0,1.0,,,,,,
43034,687,10.172831362913131,219.40317919075153,596,3.8118466898954706,61.0,0.0,3.0,5.0,,,,,,
43035,304,4.58100070933595,127.51677852348992,286,3.34146341463415,5.0,0.0,0.0,0.0,,,,,,
43036,1254,18.17734218629029,365.52536543422207,1137,3.66597510373444,45.0,1.0,1.0,0.0,,,,,,
43037,29102,490.76096753784503,8752.665381695284,24127,3.877921240154515,5490.0,402.0,18.0,66.0,1.0,0.0,1.0,1.0,1.0,4.0
43038,35675,1694.6354049662248,13046.093951340536,30000,4.22773613724031,27952.0,1456.0,112.0,592.0,2.0,0.0,2.0,1.0,1.0,6.0
43039,121,1.04840613931523,34.0,118,3.48979591836735,41.0,3.0,0.0,0.0,,,,,,
43040,407,13.40458389508523,171.7989949748743,377,3.98170731707317,12.0,1.0,0.0,0.0,,,,,,
43041,233,1.04454724266045,98.9575289575289,226,3.2641509433962304,3.0,0.0,0.0,0.0,,,,,,
43042,2946,77.37955350348102,1029.8411926887093,2870,3.9319513998172715,174.0,6.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
43043,4921,156.07852772317125,1617.0515102065033,4615,4.19977475577952,286.0,10.0,2.0,4.0,,,,,,
43044,5475,81.4719517087896,1810.4964825389218,4570,3.679579730781512,873.0,27.0,30.0,48.0,0.0,0.0,1.0,0.0,0.0,1.0
43045,172,1.07222914072229,63.522727272727266,168,3.12328767123288,3.0,0.0,0.0,0.0,,,,,,
43046,109,0.0,42.33009708737862,98,3.64285714285714,13.0,0.0,0.0,0.0,,,,,,
43047,6685,182.21261006290698,1618.0544490242642,5457,3.735501386496863,1098.0,36.0,57.0,117.0,1.0,0.0,1.0,0.0,0.0,2.0
