municipality,tot_pob,high,professionals,europeans,NumCompanies_10S,NumNewCompanies_10S,NumCompanies_ML_10S,NumCompanies_HP_10S,banks_BBVA,banks_Bankinter,banks_CaixaBank,banks_Sabadell,banks_Santander,banks_total,municipality_name,high_ratio,professionals_ratio,europeans_ratio,growth_rate_10S,companies_size_ratio_10S,companies_profit_ratio_10S,branch_density_per_1000,competitor,high_score,high_ratio_score,professionals_score,professionals_ratio_score,europeans_score,europeans_ratio_score,NumNewCompanies_10S_score,growth_rate_10S_score,NumCompanies_ML_10S_score,companies_size_ratio_10S_score,NumCompanies_HP_10S_score,companies_profit_ratio_10S_score,competitor_score
08264,6661,537.7556442862178,3084.5849902549617,6071,1016.0,72.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,1.0,Sant Vicenç de Montalt,0.08073196881642664,0.46308136770078995,0.9114247110043537,0.07086614173228346,0.0,0.027559055118110236,0.15012760846719714,99.0,37.73494607244873,94.5023204819365,24.12893877316461,68.81090341929887,17.756577820475584,63.503639070994744,4.469967406487661,60.23622047244095,0.0,0.0,2.622950819672131,19.291338582677167,85.71428571428571
08265,2077,24.223738062755785,663.0655976676385,1966,46.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Sant Vicenç de Torelló,0.011662849332092337,0.31924198250728864,0.9465575349061146,0.021739130434782608,0.08695652173913043,0.13043478260869565,0.0,100.0,1.6354389829966933,10.030941733961864,4.871960852423253,21.801033884928785,5.52812469745377,81.82762165755022,0.06208288064566196,18.478260869565215,0.700832238282961,91.92546583850931,0.5620608899297423,91.30434782608697,100.0
08266,57291,3053.7449345995187,21758.233403766368,52136,50870.0,2944.0,1794.0,2946.0,3.0,0.0,4.0,3.0,2.0,12.0,Cerdanyola del Vallès,0.05330235001308266,0.37978449326711644,0.9100207711507916,0.057873009632396305,0.0352663652447415,0.05791232553567918,0.20945698277216315,88.0,100.0,60.95595799536444,100.0,41.58765580544078,100.0,62.771395927056794,100.0,49.19205818753686,100.0,37.28158611586958,100.0,40.53862787497543,0.0
08267,9417,93.32943367503808,2802.4284984359992,8899,1970.0,95.0,95.0,185.0,1.0,0.0,1.0,1.0,0.0,3.0,Sentmenat,0.009910739479137525,0.29759249213507477,0.9449930975894658,0.048223350253807105,0.048223350253807105,0.09390862944162437,0.31857279388340237,97.0,6.493329054566161,7.8881153000651185,21.885107338328947,14.725505047578357,26.18095429597027,81.0116689681738,5.8978736613378855,40.98984771573604,16.644765659220322,50.97897026831036,17.330210772833723,65.73604060913706,57.14285714285714
08268,1169,13.733669121574781,263.4209400918247,1125,56.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Cercs,0.011748219950021198,0.2253386998219202,0.962360992301112,0.03571428571428571,0.0,0.0,0.8554319931565441,99.0,0.8980236179108483,10.135349808870837,1.693812302121211,0.0,3.0228557385106902,90.07012100582466,0.12416576129132392,30.357142857142854,0.0,0.0,0.0,0.0,85.71428571428571
08269,3736,152.75946218244835,1470.6270704280287,3536,130.0,6.0,9.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,Seva,0.040888507008149985,0.3936367961531126,0.9464668094218416,0.046153846153846156,0.06923076923076923,0.11538461538461539,0.2676659528907923,99.0,10.671053377884117,45.77385574740684,11.294041756748454,46.1148925601393,10.205023943043113,81.78030259778365,0.37249728387397174,39.23076923076923,1.5768725361366622,73.18681318681318,1.405152224824356,80.76923076923079,85.71428571428571
08270,31222,1799.43210153603,11913.607258627675,25185,19412.0,1785.0,120.0,585.0,1.0,0.0,2.0,2.0,1.0,6.0,Sitges,0.05763346683543751,0.3815773255597872,0.8066427519057076,0.09195343086750464,0.006181743251596951,0.03013599835153513,0.1921721862789059,94.0,100.0,66.2529041883131,94.34117304403094,42.17359276604499,74.69559194798812,8.853241503250997,100.0,78.16041623737895,21.02496714848883,6.534985723116776,54.80093676814989,21.09519884607459,14.285714285714285
08271,83,5.2271034996277,38.873417721519,76,35.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Sobremunt,0.0629771505979241,0.46835443037974694,0.9156626506024096,0.0,0.02857142857142857,0.02857142857142857,0.0,100.0,0.3000416381061866,72.78821748578153,0.0,70.53425608971563,0.0,65.71399174901438,0.0,0.0,0.17520805957074026,30.204081632653057,0.09367681498829039,20.0,100.0
08272,219,5.104491433863252,96.40191387559811,214,24.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Sora,0.02330818006330252,0.44019138755980874,0.9771689497716894,0.0,0.0,0.08333333333333333,0.0,100.0,0.2914224362928723,24.273155188914014,0.3656041902906079,61.3299552866002,0.30906260938209823,97.79340438298908,0.0,0.0,0.0,0.0,0.18735362997658078,58.333333333333336,100.0
08273,3241,38.705913436844625,1122.6269542645289,3086,387.0,6.0,18.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Subirats,0.011942583596681464,0.3463828923988056,0.9521752545510644,0.015503875968992248,0.046511627906976744,0.09302325581395349,0.0,100.0,2.6534855469040837,10.37305611430015,8.526593115250828,30.67127920284295,8.864511420421964,84.75761661719399,0.37249728387397174,13.178294573643413,3.1537450722733245,49.16943521594684,3.3723653395784545,65.11627906976744,100.0
